Ticker,Signal,Raw_Sentence,Scan_Date,Price,Market_Cap,TTM_EPS,EPS_Torque,EPS_Growth_Rate,Forward_PE,Forward_PEG,EPS_Source,Is_Quarterly
KALU,NO DATA,No guidance found,2026-03-10T20:02:53.153662,,,,,,,,,
EFSC,NO DATA,No guidance found,2026-03-10T20:03:12.189808,,,,,,,,,
MESO,NO DATA,No guidance found,2026-03-10T20:03:17.315765,,,,,,,,,
PLAB,NO DATA,"shareholders $ 22,891 $ 34,388 $ 74,604 $ 96,819 Earnings per share: Basic $ 0.40",2026-03-10T20:03:36.475902,34.21,2020601344.0,2.34,1.6,-31.6,21.38,,10-K,True
GTM,NO DATA,No guidance found,2026-03-10T20:03:52.219977,,,,,,,,,
PAHC,NO DATA,No guidance found,2026-03-10T20:04:20.193172,,,,,,,,,
UNIT,NO DATA,"in net income, and decreases in basic and diluted earnings per share of $0.03",2026-03-10T20:04:50.442893,8.24,1969963264.0,4.87,0.12,-97.5,68.67,,10-K,True
HTFL,NO DATA,No guidance found,2026-03-10T20:05:06.266562,,,,,,,,,
FORTY,NO DATA,No guidance found,2026-03-10T20:05:11.179699,,,,,,,,,
APPN,NO DATA,No guidance found,2026-03-10T20:05:34.815394,,,,,,,,,
CASH,NO DATA,No guidance found,2026-03-10T20:06:03.098930,,,,,,,,,
PENN,NO DATA,No guidance found,2026-03-10T20:06:31.733635,,,,,,,,,
ATEC,NO DATA,No guidance found,2026-03-10T20:06:56.051022,,,,,,,,,
MGNI,NO DATA,No guidance found,2026-03-10T20:07:21.006162,,,,,,,,,
NBTX,NO DATA,No guidance found,2026-03-10T20:07:25.606177,,,,,,,,,
DRH,NO DATA,"stockholders $ 20,071 $ 23,978 $ 67,855 $ 51,928 Earnings per share: Earnings per share available to common stockholders— basic $ 0.10",2026-03-10T20:07:50.066258,9.48,1942751488.0,0.44,0.4,-9.1,23.7,,10-K,True
ETOR,NO DATA,No guidance found,2026-03-10T20:07:54.785877,,,,,,,,,
GRAL,NO DATA,No guidance found,2026-03-10T20:08:18.286238,,,,,,,,,
NKTR,NO DATA,No guidance found,2026-03-10T20:08:45.089933,,,,,,,,,
MBIN,🔴 SELL,"Shareholders 44,436 53,516 114,754 198,716 Basic Earnings Per Share $ 0.97",2026-03-10T20:09:25.834484,41.91,1926270080.0,3.78,3.88,2.6,10.8,4.083,10-K,True
RNW,NO DATA,No guidance found,2026-03-10T20:09:31.234415,,,,,,,,,
AUPH,NO DATA,"hensive income $ 31,707 $ 14,824 $ 76,306 $ 4,668 Earnings per share Basic $ 0.24",2026-03-10T20:09:55.372032,14.37,1910792960.0,2.07,0.96,-53.6,14.97,,10-K,True
SYBT,NO DATA,No guidance found,2026-03-10T20:10:29.874725,,,,,,,,,
